,x,psi
0,0.06,312.44175749920123
1,0.07,267.790125703497
2,0.08,228.94921222296634
3,0.09,197.92861838732063
4,0.1,172.6727909042371
5,0.11,151.44330606179687
6,0.12,132.37621336772196
7,0.13,114.67656952858454
8,0.14,96.47566157758901
9,0.15,77.36562210953348
10,0.16,53.309618092586234
11,0.17,25.993589818110376
12,0.18,7.616599685501705
13,0.19,7.56791130768324
14,0.2,29.066304075309557
15,0.21,41.69029586272519
16,0.22,74.93692139159548
17,0.23,72.46896230136609
18,0.24,72.70268696991916
19,0.25,71.80820591076998
20,0.26,70.42277730441421
21,0.27,68.51240532731534
22,0.28,66.6317465818534
23,0.29,64.64490794562109
24,0.3,62.66692018477831
25,0.31,60.74203750793889
26,0.32,58.90300587123373
27,0.33,57.14143866429208
28,0.34,55.45843502954996
29,0.35,53.85499230281602
30,0.36,52.322757730636965
31,0.37,50.87026412281476
32,0.38,49.48262157215978
33,0.39,48.15405122177371
34,0.4,46.90284783316177
35,0.41,45.703940426417425
36,0.42,44.5524722881266
37,0.43,43.43389539191826
38,0.44,42.41065707612846
39,0.45,41.42993509360093
40,0.46,40.480764811782244
41,0.47,39.56704687984621
42,0.48,38.666388175888976
43,0.49,37.93021038357956
44,0.5,37.255691854965065
45,0.51,36.67429419655085
46,0.52,36.13427650726914
47,0.53,35.57835736855688
48,0.54,33.5327409093057
