,x,psi
0,0.06,0.9177564468180741
1,0.07,1.3067939209780257
2,0.08,1.707487168315826
3,0.09,2.0820339536817416
4,0.1,2.474112825884985
5,0.11,2.836907962426113
6,0.12,3.2441540878095507
7,0.13,3.685571048596188
8,0.14,4.319061304461031
9,0.15,5.17277404913234
10,0.16,6.446772166974789
11,0.17,8.398827199984439
12,0.18,11.365714579269408
13,0.19,15.830739020351622
14,0.2,22.42931082703177
15,0.21,32.25342492294282
16,0.22,46.222313491710715
17,0.23,65.13598250141753
18,0.24,89.61042026998909
19,0.25,117.99079690906967
20,0.26,148.31328152850887
21,0.27,176.252394606689
22,0.28,201.4866320383765
23,0.29,219.19041970981104
24,0.3,230.35240469267194
25,0.31,234.2079554869007
26,0.32,234.3137123815423
27,0.33,228.52943014762806
28,0.34,219.57982683822982
29,0.35,205.00127661603437
30,0.36,182.74398747338887
31,0.37,149.42910494292568
32,0.38,104.71601154735606
33,0.39,54.895522310678025
34,0.4,12.025908775147743
35,0.41,0.15378407772483627
36,0.42,12.73120835852979
37,0.43,35.49218179200603
38,0.44,55.034539367118626
39,0.45,71.23000300038741
40,0.46,82.4503902650846
41,0.47,90.93030071040047
42,0.48,94.86101597262062
43,0.49,98.02210959640163
44,0.5,99.36760580160966
45,0.51,99.22082658711975
46,0.52,98.15256940555462
47,0.53,96.21304985125803
48,0.54,93.50498041359643
