,x,psi
0,0.06,104.75929167599809
1,0.07,88.27463009414807
2,0.08,45.3773371774995
3,0.09,2.962999652208075
4,0.1,0.047550182424341815
5,0.11,11.962232124106132
6,0.12,33.57808999037877
7,0.13,41.20452287423429
8,0.14,41.907854113891894
9,0.15,40.46911646868332
10,0.16,38.594553587911776
11,0.17,36.64215566542405
12,0.18,34.75043927993985
13,0.19,33.00961151733063
14,0.2,31.398657375842813
15,0.21,29.92349203972019
16,0.22,28.570868034069843
17,0.23,27.32891918719757
18,0.24,26.18684091568565
19,0.25,25.134273734693366
20,0.26,24.163737204515602
21,0.27,23.26890336275057
22,0.28,22.43661006938451
23,0.29,21.66740591292084
24,0.3,20.952205390085382
25,0.31,20.270581469918884
26,0.32,19.57003746801443
27,0.33,18.779886563593724
28,0.34,17.355421143838782
29,0.35,14.315850470124353
30,0.36,8.75896534872321
31,0.37,2.0470020760437873
32,0.38,0.009171401320551277
33,0.39,0.0005747435161181089
34,0.4,0.0052238886902941165
35,0.41,0.12215851732617748
36,0.42,1.005688216839149
37,0.43,3.3125668802208175
38,0.44,6.040266871881379
39,0.45,8.309955886734203
40,0.46,10.00656465498896
41,0.47,11.000656041784111
42,0.48,11.606947511458026
43,0.49,11.836398794198711
44,0.5,11.910936327179892
45,0.51,11.874205844256622
46,0.52,11.791562835668506
47,0.53,11.6685646052277
48,0.54,11.507546264018567
