,x,psi
0,0.06,60.337079838838925
1,0.07,27.360758785809914
2,0.08,1.3354875294022255
3,0.09,27.743633723211005
4,0.1,150.00594730658284
5,0.11,246.70320146487674
6,0.12,259.13633018222174
7,0.13,240.78289353912567
8,0.14,217.91109876222416
9,0.15,196.9842466868188
10,0.16,178.527323745567
11,0.17,162.44445614138928
12,0.18,148.39982168952798
13,0.19,135.13430209108213
14,0.2,123.22826910496322
15,0.21,111.66420080793151
16,0.22,100.13559159748928
17,0.23,88.58643624837991
18,0.24,76.55237880670249
19,0.25,63.886129945491
20,0.26,50.398665058333115
21,0.27,37.45205713536145
22,0.28,23.576625625959064
23,0.29,13.589444371570641
24,0.3,24.70578599154629
25,0.31,3.4656194698215805
26,0.32,5.680695856032245
27,0.33,9.407012508541854
28,0.34,11.501046706992149
29,0.35,8.491836515266609
30,0.36,0.5486039436074563
31,0.37,16.868505257092444
32,0.38,61.79448984316148
33,0.39,75.5937792448753
34,0.4,77.45872271390054
35,0.41,76.26733139167455
36,0.42,74.69097664259502
37,0.43,72.99154419943444
38,0.44,71.35581091774944
39,0.45,69.77404540939567
40,0.46,68.23025774537199
41,0.47,66.74395649419137
42,0.48,65.29171416998507
43,0.49,63.913132972892306
44,0.5,62.57548581859593
45,0.51,61.2804938586442
46,0.52,60.01401333826237
47,0.53,58.77806465702779
48,0.54,57.61909102656965
