,x,psi
0,0.06,5.1669958063186465
1,0.07,5.110121215710927
2,0.08,5.14995492451337
3,0.09,5.460600188059446
4,0.1,6.106100647202707
5,0.11,7.375445872664317
6,0.12,9.53075992873059
7,0.13,13.175701798781995
8,0.14,19.218816322360734
9,0.15,28.955584286730932
10,0.16,44.78621349563939
11,0.17,69.19609848360616
12,0.18,105.3690020962582
13,0.19,152.41908204968422
14,0.2,202.645461581404
15,0.21,247.82664846051944
16,0.22,277.84720835347554
17,0.23,288.69206432400495
18,0.24,286.3959555199911
19,0.25,276.4155374034141
20,0.26,263.60048658053194
21,0.27,250.40039466584804
22,0.28,237.66380589730574
23,0.29,226.77067852617282
24,0.3,217.0956613605055
25,0.31,207.68376101508508
26,0.32,200.45396220156064
27,0.33,195.29781620061743
28,0.34,190.55970266780602
29,0.35,186.7258444616152
30,0.36,186.19511421937364
31,0.37,186.14359673006464
32,0.38,172.67834837808854
33,0.39,23.514430757169293
34,0.4,43.68532052671476
35,0.41,82.2398200275792
36,0.42,95.52006956444221
37,0.43,101.02820954387587
38,0.44,103.37185756852178
39,0.45,103.66691728579875
40,0.46,102.71035348581762
41,0.47,101.25966426936823
42,0.48,99.42487764679358
43,0.49,97.73055952798083
44,0.5,95.85976854168578
45,0.51,93.74614981784053
46,0.52,91.50788351072168
47,0.53,89.113274787405
48,0.54,87.02452297901822
